Post Ofice,District,Digital Address,Longitude,Latitude
FIELMUO POSTAL AGENCY,WA,,,
WA (MAIN) POST OFFICE,WA,XW-0007-4176,5.57084,0.1961
LAWRA POST OFFICE,WA,XL-0000-2547,10.6419,2.8914
UDS POST OFFICE (WA),WA,XW-1038-8697,9.99163,2.4754
TUMU POST OFFICE,WA,XS-00003-9070,10.8773,1.9857
JIRAPA POST OFFICE,WA,XJ-0003-6794,10.5359,2.7008
NADOWLI POST OFFICE,WA,XO-0013-1511,10.3791,2.6672
HAMILE POST OFFICE,WA,XK-2233-0829,10.9971,2.7484
NANDOM POST OFFICE,WA,XN-0020-9072,10.8458,2.7627
BABILE POSTAL AGENCY,WA,XL-1478-4933,10.6323,2.7780
BOLE POST OFFICE,WA,NB-00000-0299,9.03476,2.4882
FUNSI POSTAL AGENCY,WA,XX-0048-7453,,
WECHAU POST OFFICE,WA,XY-0007-1430,9.82680,2.6853
TUNA POST OFFICE,WA,NW-06284-2488,9.49247,2.4198
REGIONAL HEAD SECRETARIAT,WA,XW-0007-5619,10.0600,2.4992
GBWOLLO,WA,XT-0048-7453,10.9756,2.2110
,,,,
