Series Name,"Series Code","country","iso","population_2021"
"Population, total","SP.POP.TOTL","Afghanistan","AFG","39835428"
"Population, total","SP.POP.TOTL","Albania","ALB","2811666"
"Population, total","SP.POP.TOTL","Algeria","DZA","44616626"
"Population, total","SP.POP.TOTL","American Samoa","ASM","55103"
"Population, total","SP.POP.TOTL","Andorra","AND","77354"
"Population, total","SP.POP.TOTL","Angola","AGO","33933611"
"Population, total","SP.POP.TOTL","Antigua and Barbuda","ATG","98728"
"Population, total","SP.POP.TOTL","Argentina","ARG","45808747"
"Population, total","SP.POP.TOTL","Armenia","ARM","2968128"
"Population, total","SP.POP.TOTL","Aruba","ABW","107195"
"Population, total","SP.POP.TOTL","Australia","AUS","25739256"
"Population, total","SP.POP.TOTL","Austria","AUT","8956279"
"Population, total","SP.POP.TOTL","Azerbaijan","AZE","10145212"
"Population, total","SP.POP.TOTL","Bahamas, The","BHS","396914"
"Population, total","SP.POP.TOTL","Bahrain","BHR","1748295"
"Population, total","SP.POP.TOTL","Bangladesh","BGD","166303494"
"Population, total","SP.POP.TOTL","Barbados","BRB","287708"
"Population, total","SP.POP.TOTL","Belarus","BLR","9340314"
"Population, total","SP.POP.TOTL","Belgium","BEL","11587882"
"Population, total","SP.POP.TOTL","Belize","BLZ","404915"
"Population, total","SP.POP.TOTL","Benin","BEN","12451031"
"Population, total","SP.POP.TOTL","Bermuda","BMU","63867"
"Population, total","SP.POP.TOTL","Bhutan","BTN","779900"
"Population, total","SP.POP.TOTL","Bolivia","BOL","11832936"
"Population, total","SP.POP.TOTL","Bosnia and Herzegovina","BIH","3263459"
"Population, total","SP.POP.TOTL","Botswana","BWA","2397240"
"Population, total","SP.POP.TOTL","Brazil","BRA","213993441"
"Population, total","SP.POP.TOTL","British Virgin Islands","VGB","30423"
"Population, total","SP.POP.TOTL","Brunei Darussalam","BRN","441532"
"Population, total","SP.POP.TOTL","Bulgaria","BGR","6899125"
"Population, total","SP.POP.TOTL","Burkina Faso","BFA","21497097"
"Population, total","SP.POP.TOTL","Burundi","BDI","12255429"
"Population, total","SP.POP.TOTL","Cabo Verde","CPV","561901"
"Population, total","SP.POP.TOTL","Cambodia","KHM","16946446"
"Population, total","SP.POP.TOTL","Cameroon","CMR","27224262"
"Population, total","SP.POP.TOTL","Canada","CAN","38246108"
"Population, total","SP.POP.TOTL","Cayman Islands","CYM","66498"
"Population, total","SP.POP.TOTL","Central African Republic","CAF","4919987"
"Population, total","SP.POP.TOTL","Chad","TCD","16914985"
"Population, total","SP.POP.TOTL","Channel Islands","CHI","175244"
"Population, total","SP.POP.TOTL","Chile","CHL","19212362"
"Population, total","SP.POP.TOTL","China","CHN","1412360000"
"Population, total","SP.POP.TOTL","Colombia","COL","51265841"
"Population, total","SP.POP.TOTL","Comoros","COM","888456"
"Population, total","SP.POP.TOTL","Congo, Dem. Rep.","COD","92377986"
"Population, total","SP.POP.TOTL","Congo, Rep.","COG","5657017"
"Population, total","SP.POP.TOTL","Costa Rica","CRI","5139053"
"Population, total","SP.POP.TOTL","Cote d'Ivoire","CIV","27053629"
"Population, total","SP.POP.TOTL","Croatia","HRV","3899000"
"Population, total","SP.POP.TOTL","Cuba","CUB","11317498"
"Population, total","SP.POP.TOTL","Curacao","CUW","152369"
"Population, total","SP.POP.TOTL","Cyprus","CYP","1215588"
"Population, total","SP.POP.TOTL","Czech Republic","CZE","10703446"
"Population, total","SP.POP.TOTL","Denmark","DNK","5856733"
"Population, total","SP.POP.TOTL","Djibouti","DJI","1002197"
"Population, total","SP.POP.TOTL","Dominica","DMA","72172"
