NUTS_ID,NAME_LATN,AREA_TOT_2024,POP_TOT_2023,POP_09_RT_2023,POP_024_RT_2023,POP_65P_RT_2023,POP_80P_RT_2023,LIFE_EXP_2022,HIGH_EDU_2023,UNEMP_25P_2023,UNEMP_LT_25P_2023,GDP_CAP_PPS_2022,INC_PPS_2021,AREA_ART_RT,AREA_CUL_RT,AREA_BOI_RT,zone
AT11,Burgenland,3964,301250,8.580581,22.26324,23.338755,6.6804979,81.4,33.2,4.7,,31000,23100,5.348133198789102,40.11099899091826,31.91220988900101,EU27
AT12,Niederösterreich,19180,1718373,9.573649,24.4398,20.925492,6.425904,81.1,36,4,32.1,37300,23100,4.426716721414047,35.85171281088691,39.12091349913969,EU27
AT13,Wien,415,1982097,9.819348,26.0566,16.35924,4.7411403,80.3,46.3,8.3,31.4,50400,20500,29.87951807228916,16.3855421686747,28.433734939759038,EU27
AT21,Kärnten,9537,568984,8.621684,22.75424,23.066729,6.9077514,81.4,33.8,4,32,38900,21700,3.1980706721191154,4.540211806647792,57.85886547132222,EU27
AT22,Steiermark,16399,1265198,9.018272,23.41246,21.234463,6.5588943,81.5,33.1,3.7,21.9,39700,22000,3.9029149896328823,8.610806195877545,55.45188437614343,EU27
AT31,Oberösterreich,11982,1522825,10.210628,25.67524,19.333213,5.7765666,81.8,33.1,2.9,22.4,45100,22400,6.218178783073199,23.36198981721058,40.98990067607045,EU27
AT32,Salzburg,7154,568346,9.906817,25.12097,19.74607,5.7762349,82.3,36.1,2.5,,52500,22200,3.0752026838132513,0.9924517752306402,41.48727984344423,EU27
AT33,Tirol,12649,771304,9.828031,24.94529,18.962562,5.711626,82.5,32.2,2.3,,45600,21700,2.2533206831119545,0.7194813409234662,31.736242884250476,EU27
AT34,Vorarlberg,2602,406395,10.675574,26.72252,18.150076,5.4274782,82.2,29.4,2.5,,52000,23000,4.41967717140661,0.5764796310530361,34.973097617217526,EU27
BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,162,1253178,12.364804,31.14641,12.892981,3.6938887,81.6,53.8,9.7,52,69500,19400,62.96296296296296,4.938271604938271,14.19753086419753,EU27
BE21,Prov. Antwerpen,2876,1915921,10.840165,27.92819,20.026087,5.7169894,82.8,46.1,3,31,50400,22000,18.42837273991655,28.33796940194715,25.938803894297635,EU27
BE22,Prov. Limburg (BE),2429,898619,9.526618,25.68575,21.735352,5.8636641,82.8,42.2,2.4,27,34500,21500,11.692054343351172,30.053519967064634,28.200905722519554,EU27
BE23,Prov. Oost-Vlaanderen,3009,1563346,10.206826,27.1036,20.385634,5.895432,82.6,46.8,2,22.5,39700,23800,13.858424725822532,35.95879029577933,11.665004985044865,EU27
BE24,Prov. Vlaams-Brabant,2118,1188079,10.840862,28.63791,19.939836,5.8125764,83.2,50,3.1,58.4,48100,24800,15.250236071765816,31.633616619452315,22.049102927289894,EU27
BE25,Prov. West-Vlaanderen,3167,1222004,9.499642,25.32136,24.207531,7.2482578,82.7,40,2,21.3,41000,22900,18.06125670982002,42.72181875592043,6.094095358383328,EU27
BE31,Prov. Brabant Wallon,1097,413959,10.356098,28.88619,20.221809,5.3964281,82.8,62,4.7,35.5,54000,23100,13.582497721057429,46.94621695533272,14.038286235186872,EU27
BE32,Prov. Hainaut,3814,1361026,10.629554,28.84162,19.433354,4.8134275,79.2,34.3,8.2,62,26100,18300,11.303435615001312,42.748492001049044,19.32861264096512,EU27
BE33,Prov. Liège,3858,1122360,10.677946,28.66505,19.523326,5.0830393,80,38.6,7.6,58.5,30300,19100,10.730948678071538,18.636599274235355,31.207879730430278,EU27
BE34,Prov. Luxembourg (BE),4461,297654,10.943243,30.05873,17.632553,4.6308801,80.2,40.4,5.3,31.8,25400,20600,3.496973772696705,9.997758350145707,49.002465814839724,EU27
BE35,Prov. Namur,3676,506650,10.28343,28.48041,19.557683,4.8690417,80.3,44.1,5.3,50.5,28000,19400,6.120783460282916,25.73449401523395,37.18715995647443,EU27
