Series Name,"Series Code","Country Name","Country Code","2021 [YR2021]"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Afghanistan","AFG","1500"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Albania","ALB","9641.5"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Algeria","DZA","79200"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","American Samoa","ASM","1058.72"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Andorra","AND","0"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Angola","AGO","528964"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Antigua and Barbuda","ATG","3205"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Argentina","ARG","852565.8"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Armenia","ARM","770"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Aruba","ABW","165"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Australia","AUS","171026.48"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Austria","AUT","350"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Azerbaijan","AZE","1464"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Bahamas, The","BHS","8704.85"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Bahrain","BHR","15720"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Bangladesh","BGD","1982482.99"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Barbados","BRB","846.57"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Belarus","BLR","611.23"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Belgium","BEL","17937"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Belize","BLZ","191621.2"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Benin","BEN","74615"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Bermuda","BMU","419"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Bhutan","BTN","15"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Bolivia","BOL","7600"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Bosnia and Herzegovina","BIH","305"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Botswana","BWA","38"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Brazil","BRA","760622.55"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","British Virgin Islands","VGB","1132.83"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Brunei Darussalam","BRN","15295"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Bulgaria","BGR","9009.27"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Burkina Faso","BFA","29731"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Burundi","BDI","19550"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Cabo Verde","CPV","11623.87"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Cambodia","KHM","508049.99"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Cameroon","CMR","290330"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Canada","CAN","754504.64"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Cayman Islands","CYM","125"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Central African Republic","CAF","28000"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Chad","TCD","103000"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Channel Islands","CHI","2187.51"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Chile","CHL","2390072.38"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","China","CHN","13142836.98"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Colombia","COL","128869.15"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Comoros","COM","19356.06"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Congo, Dem. Rep.","COD","228665"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Congo, Rep.","COG","69419"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Costa Rica","CRI","29122.73"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Cote d'Ivoire","CIV","105295.36"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Croatia","HRV","62422.22"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Cuba","CUB","18053.2"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Curacao","CUW","25027.24"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Cyprus","CYP","1401.33"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Czechia","CZE","3314"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Denmark","DNK","466503.08"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Djibouti","DJI","3088.9"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Dominica","DMA","287.97"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Dominican Republic","DOM","17666.88"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Ecuador","ECU","863618.6"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Egypt, Arab Rep.","EGY","425770"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","El Salvador","SLV","59004.89"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Equatorial Guinea","GNQ","6307.12"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Eritrea","ERI","4574.16"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Estonia","EST","72235.55"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Eswatini","SWZ","65"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Ethiopia","ETH","60650"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Faroe Islands","FRO","540603.52"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Fiji","FJI","32874.48"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Finland","FIN","124971"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","France","FRA","510109.6"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","French Polynesia","PYF","13243.01"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Gabon","GAB","29860"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Gambia, The","GMB","52651.97"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Georgia","GEO","217575.05"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Germany","DEU","187662.85"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Ghana","GHA","392761.55"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Gibraltar","GIB","1"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Greece","GRC","59632"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Greenland","GRL","271027"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Grenada","GRD","1023.98"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Guam","GUM","25.69"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Guatemala","GTM","11082.06"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Guinea","GIN","325120"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Guinea-Bissau","GNB","63221"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Guyana","GUY","34216.25"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Haiti","HTI","16220"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Honduras","HND","16250.39"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Hong Kong SAR, China","HKG","115178.98"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Hungary","HUN","4600.53"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Iceland","ISL","1056427.31"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","India","IND","5024904.99"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Indonesia","IDN","7206879.2"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Iran, Islamic Rep.","IRN","779465.73"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Iraq","IRQ","43679.69"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Ireland","IRL","234158.85"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Isle of Man","IMN","3041.34"
Capture fisheries production (metric tons),"ER.FSH.CAPT.MT","Israel","ISR","2035"
